"49","Robert Woods (TEN)","45","69","556","12.4","28","8","4","8","46","1","0","9","114.7","12.7","74.7%"
"50","Robbie Anderson (CAR)","53","110","519","9.8","57","6","5","3","36","0","0","17","112.0","6.6","23.8%"
"51","Mecole Hardman (KC)","59","83","693","11.7","53","17","2","8","46","0","2","17","111.4","6.6","39.9%"
"52","Emmanuel Sanders (FA)","42","72","626","14.9","41","15","4","2","31","0","0","14","110.7","7.9","0.6%"
"53","Kalif Raymond (DET)","48","71","576","12.0","75","12","4","4","28","0","0","16","108.4","6.8","0.2%"
"54","Gabriel Davis (BUF)","35","63","549","15.7","49","17","6","0","0","0","0","15","108.4","7.2","91.5%"
"55","Odell Beckham Jr. (FA)","44","82","537","12.2","54","12","5","2","14","0","0","14","107.1","7.7","14.4%"
"56","Jarvis Landry (NO)","52","87","570","11.0","38","10","2","6","40","2","2","12","107.0","8.9","48.4%"
"57","Byron Pringle (CHI)","42","60","568","13.5","40","14","5","0","0","0","1","16","105.8","6.6","0.9%"
"58","Antonio Brown (FA)","42","62","545","13.0","62","15","4","1","6","0","0","7","100.1","14.3","0.8%"
"59","Braxton Berrios (NYJ)","46","65","431","9.4","46","7","2","7","40","2","1","16","98.1","6.1","2.2%"
"60","Laviska Shenault Jr. (JAC)","63","100","619","9.8","58","11","0","11","41","0","1","16","95.5","6.0","1.3%"
"61","Deonte Harty (NO)","36","59","570","15.8","72","16","3","5","41","0","1","13","95.1","7.3","0.6%"
"62","Quez Watkins (PHI)","43","62","647","15.0","91","22","1","1","3","0","0","17","94.5","5.6","0.8%"
"63","Donovan Peoples-Jones (CLE)","34","58","597","17.6","60","22","3","0","0","0","1","14","92.7","6.6","3.0%"
"64","Bryan Edwards (ATL)","34","59","571","16.8","51","19","3","1","0","0","0","16","92.1","5.8","0.9%"
"65","Nick Westbrook-Ikhine (TEN)","38","57","476","12.5","46","8","4","0","0","0","1","15","88.6","5.9","1.6%"
"66","Corey Davis (NYJ)","34","59","492","14.5","53","14","4","0","0","0","1","9","88.2","9.8","8.3%"
"67","Nelson Agholor (NE)","37","64","473","12.8","44","12","3","3","11","0","0","15","84.9","5.7","1.3%"
"68","Jamison Crowder (BUF)","51","71","447","8.8","29","3","2","0","0","0","1","12","84.2","7.0","6.1%"
"69","DeVante Parker (NE)","40","73","515","12.9","42","11","2","0","0","0","0","10","83.5","8.4","32.5%"
"70","Zay Jones (JAC)","47","70","546","11.6","43","14","1","2","3","0","1","15","82.4","5.5","0.9%"
"71","Rondale Moore (ARI)","54","64","435","8.1","77","7","1","18","76","0","1","14","82.1","5.9","29.5%"
"72","Jalen Guyton (LAC)","31","48","448","14.5","59","10","3","7","34","0","0","16","81.7","5.1","0.7%"
"73","Rashod Bateman (BAL)","46","68","515","11.2","36","12","1","0","0","0","0","12","80.5","6.7","88.7%"
"74","Randall Cobb (GB)","28","39","375","13.4","54","11","5","1","1","0","1","11","79.6","7.2","3.7%"
"75","Joshua Palmer (LAC)","33","49","353","10.7","36","4","4","1","6","0","0","15","76.4","5.1","15.3%"
"76","Zach Pascal (PHI)","38","69","384","10.1","41","9","3","2","21","0","1","16","75.5","4.7","0.3%"
"77","DeAndre Carter (LAC)","24","44","296","12.3","26","5","3","10","89","0","0","17","74.5","4.4","0.1%"
"78","Olamide Zaccheaus (ATL)","31","53","406","13.1","49","9","3","1","2","0","0","15","74.3","5.0","0.2%"
"79","Michael Gallup (DAL)","35","62","445","12.7","41","11","2","0","0","0","0","9","74.0","8.2","34.2%"
"80","Marquez Valdes-Scantling (KC)","26","55","430","16.5","75","17","3","0","0","0","0","11","74.0","6.7","52.1%"
"81","Freddie Swain (SEA)","25","40","343","13.7","68","13","4","5","32","0","0","17","74.0","4.4","0.1%"
"82","Henry Ruggs III (FA)","24","36","469","19.5","61","21","2","3","16","0","0","7","72.5","10.4","10.9%"
"83","Tre'Quan Smith (NO)","32","50","377","11.8","34","7","3","0","0","0","0","10","71.7","7.2","0.6%"
"84","Kenny Golladay (NYG)","37","76","521","14.1","36","6","0","0","0","0","0","14","70.6","5.0","52.0%"
"85","Jauan Jennings (SF)","24","38","282","11.8","34","5","5","0","0","0","0","13","70.2","5.4","0.6%"
"86","Allen Robinson II (LAR)","38","66","410","10.8","39","6","1","0","0","0","0","12","68.0","5.7","92.7%"
"87","Nico Collins (HOU)","33","60","446","13.5","32","11","1","0","0","0","0","14","67.1","4.8","13.9%"
"88","Josh Reynolds (DET)","29","49","396","13.7","39","7","2","0","0","0","0","11","66.1","6.0","0.7%"
"89","Jerry Jeudy (DEN)","38","56","467","12.3","40","10","0","2","3","0","0","10","66.0","6.6","94.5%"
"90","Laquon Treadwell (JAC)","33","51","434","13.2","41","10","1","0","0","0","0","12","65.9","5.5","0.1%"
"91","DeSean Jackson (FA)","20","34","454","22.7","75","19","2","1","4","0","1","14","65.8","4.7","2.6%"
"92","Julio Jones (TB)","31","48","434","14.0","51","9","1","0","0","0","0","10","64.9","6.5","40.3%"
"93","Keelan Cole Sr. (LV)","28","51","449","16.0","54","12","1","0","0","0","0","14","64.9","4.6","0.2%"
"94","Jamal Agnew (JAC)","24","39","229","9.5","29","4","1","7","111","1","0","12","64.0","5.3","0.1%"
"95","Kadarius Toney (NYG)","39","57","420","10.8","38","7","0","3","6","0","0","9","62.9","7.0","68.6%"
"96","T.Y. Hilton (FA)","23","37","331","14.4","52","11","3","0","0","0","0","10","62.6","6.3","0.6%"
"97","Jalen Reagor (PHI)","33","57","299","9.1","34","5","2","10","32","0","0","17","61.6","3.6","0.7%"
"98","Devin Duvernay (BAL)","33","47","272","8.2","21","1","2","7","50","0","0","16","60.7","3.8","5.0%"
"99","Sterling Shepard (NYG)","36","53","366","10.2","37","5","1","1","-9","0","0","7","59.7","8.5","2.2%"
"100","Adam Humphries (FA)","41","62","383","9.3","27","4","0","0","0","0","0","17","58.8","3.5","1.0%"
"101","Demarcus Robinson (BAL)","25","41","264","10.6","33","4","3","0","0","0","0","15","56.9","3.8","0.3%"
"102","Sammy Watkins (GB)","27","49","394","14.6","49","9","1","0","0","0","1","11","56.9","5.2","10.0%"
"103","Danny Amendola (FA)","24","38","248","10.3","39","6","3","0","0","0","0","8","56.8","7.1","0.0%"
"104","Darius Slayton (NYG)","26","58","339","13.0","42","7","2","1","-13","0","1","13","55.6","4.3","0.4%"
"105","Calvin Ridley (ATL)","31","52","281","9.1","22","3","2","0","0","0","0","5","55.6","11.1","1.5%"
"106","Tyler Johnson (TB)","36","55","360","10.0","31","6","0","0","0","0","0","16","54.0","3.4","0.2%"
"107","James Washington (DAL)","24","44","285","11.9","42","8","2","2","13","0","0","15","53.8","3.6","0.9%"
"108","Chris Conley (HOU)","22","37","323","14.7","41","10","2","1","3","0","1","14","53.6","3.8","0.9%"
"109","Mack Hollins (LV)","14","28","223","15.9","65","9","4","0","0","0","0","16","53.3","3.3","0.1%"
"110","Damiere Byrd (ATL)","26","38","329","12.7","54","6","1","0","0","0","1","11","51.9","4.7","0.1%"
"111","Chester Rogers (HOU)","30","43","301","10.0","39","4","1","1","9","0","1","16","50.0","3.1","0.0%"
"112","Antoine Wesley (ARI)","19","32","208","10.9","33","5","3","0","0","0","0","8","48.3","6.0","0.1%"
"113","Marquise Goodwin (SEA)","20","40","313","15.7","50","10","1","2","-1","0","0","14","47.2","3.4","0.1%"
"114","Ray-Ray McCloud (SF)","39","66","277","7.1","24","2","0","2","15","0","1","16","46.7","2.9","0.1%"
"115","Rashard Higgins (CAR)","24","47","275","11.5","21","1","1","0","0","0","0","12","45.5","3.8","0.2%"
"116","Chris Moore (HOU)","21","22","227","10.8","67","7","2","0","0","0","0","10","45.2","4.5","0.0%"
"117","Lil'Jordan Humphrey (NE)","13","18","249","19.2","56","9","2","0","0","0","0","8","43.4","5.4","0.0%"
"118","Isaiah McKenzie (BUF)","20","26","178","8.9","28","1","1","9","47","1","1","15","42.5","2.8","14.6%"
"119","Quintez Cephus (DET)","15","22","204","13.6","46","8","2","0","0","0","0","5","41.9","8.4","0.2%"
"120","Cam Sims (WAS)","15","23","211","14.1","43","4","2","1","7","0","0","12","41.3","3.4","0.0%"
"121","Brandon Zylstra (CAR)","18","25","250","13.9","55","7","1","0","0","0","0","12","40.0","3.3","0.1%"
"122","Cyril Grayson Jr. (TB)","10","12","212","21.2","62","11","2","1","14","0","0","3","39.6","13.2","0.0%"
"123","Tavon Austin (FA)","24","38","213","8.9","25","2","1","3","21","0","1","12","39.4","3.3","0.0%"
"124","Ashton Dulin (IND)","13","22","173","13.3","62","5","2","3","32","0","0","16","39.0","2.4","0.1%"
"125","Malik Turner (SF)","12","16","149","12.4","61","4","3","0","0","0","0","7","38.9","5.6","0.0%"
"126","John Ross (FA)","11","20","224","20.4","51","5","1","1","16","0","0","9","35.5","3.9","0.0%"
"127","Tajae Sharpe (CHI)","25","37","230","9.2","17","0","0","0","0","0","0","14","35.5","2.5","0.1%"
"128","Albert Wilson (FA)","25","39","213","8.5","64","4","0","4","17","0","0","10","35.5","3.6","0.0%"
"129","Isaiah Ford (FA)","12","16","161","13.4","52","5","2","0","0","0","0","9","34.1","3.8","0.0%"
"130","Jakeem Grant Sr. (CLE)","11","17","132","12.0","46","5","2","5","33","0","3","15","34.0","2.3","0.1%"
"131","Greg Ward (PHI)","7","11","95","13.6","27","1","3","0","0","0","0","10","31.1","3.1","0.1%"
"132","Kendall Hinton (DEN)","15","23","175","11.7","40","4","1","0","0","0","0","11","31.0","2.8","0.1%"
"133","DJ Chark Jr. (DET)","7","22","154","22.0","41","5","2","0","0","0","0","3","30.9","10.3","26.8%"
"134","Anthony Schwartz (CLE)","10","23","135","13.5","44","3","1","6","39","0","0","13","28.4","2.2","0.5%"
"135","James Proche II (BAL)","16","20","202","12.6","32","3","0","0","0","0","0","7","28.2","4.0","0.6%"
"136","Breshad Perriman (TB)","11","18","167","15.2","58","7","1","1","-3","0","0","5","27.9","5.6","0.1%"
"137","JuJu Smith-Schuster (KC)","15","28","129","8.6","24","1","0","3","9","1","0","5","27.3","5.5","92.9%"
"138","Parris Campbell (IND)","10","20","162","16.2","51","6","1","0","0","0","0","6","27.2","4.5","3.3%"
"139","Noah Brown (DAL)","16","25","184","11.5","27","3","0","0","0","0","0","10","26.4","2.6","0.6%"
"140","Ihmir Smith-Marsette (MIN)","5","6","116","23.2","44","6","2","0","0","0","0","6","26.1","4.4","0.1%"
"141","Mohamed Sanu Sr. (MIA)","15","24","177","11.8","21","1","0","0","0","0","0","8","25.2","3.2","0.0%"
"142","Terrace Marshall Jr. (CAR)","17","30","138","8.1","23","1","0","0","0","0","0","12","24.3","2.0","1.5%"
"143","KhaDarel Hodge (ATL)","13","27","157","12.1","42","4","0","0","0","0","0","12","24.2","2.0","0.0%"
"144","Dee Eskridge (SEA)","10","20","64","6.4","17","0","1","4","59","0","0","8","23.3","2.9","0.7%"
"145","N'Keal Harry (CHI)","12","22","184","15.3","43","5","0","0","0","0","1","10","22.4","2.2","0.2%"
"146","Dyami Brown (WAS)","12","25","165","13.8","48","5","0","1","-4","0","0","10","22.1","2.2","0.2%"
"147","Marcus Johnson (SF)","9","19","160","17.8","50","6","0","2","-2","0","0","7","20.3","2.9","0.0%"
"148","Dante Pettis (CHI)","10","16","87","8.7","27","1","1","0","0","0","0","3","20.3","6.8","0.0%"
"149","Trent Sherfield (MIA)","9","20","87","9.7","18","0","1","0","0","0","0","12","19.2","1.6","0.0%"
"150","Jody Fortson (KC)","5","5","47","9.4","27","1","2","0","0","0","0","4","19.2","4.8","0.2%"
"151","Ben Skowronek (LAR)","11","20","133","12.1","35","3","0","0","0","0","0","12","18.8","1.6","0.1%"
"152","Kristian Wilkerson (NE)","4","8","42","10.5","20","1","2","0","0","0","0","1","18.2","18.2","0.0%"
"153","Denzel Mims (NYJ)","8","23","133","16.6","40","5","0","0","0","0","0","10","17.3","1.7","0.2%"
"154","Scotty Miller (TB)","5","9","38","7.6","13","0","0","2","43","1","0","6","16.6","2.8","0.1%"
"155","Collin Johnson (NYG)","11","21","105","9.5","16","0","0","0","0","0","0","8","16.0","2.0","0.0%"
"156","Kenny Stills (FA)","6","23","68","11.3","22","1","1","1","1","0","0","7","15.9","2.3","0.0%"
"157","Equanimeous St. Brown (CHI)","9","17","98","10.9","26","1","0","3","14","0","0","12","15.7","1.3","0.2%"
"158","Tom Kennedy (DET)","6","10","54","9.0","15","0","0","0","0","0","0","7","15.4","2.2","0.1%"
"159","Trinity Benson (DET)","10","22","103","10.3","24","2","0","0","0","0","0","7","15.3","2.2","0.0%"
"160","Jeff Smith (NYJ)","8","17","113","14.1","35","2","0","1","-1","0","0","9","15.2","1.7","0.0%"
"161","Phillip Dorsett II (HOU)","7","14","110","15.7","36","4","0","1","0","0","0","5","14.5","2.9","0.1%"
"162","Dez Fitzpatrick (TEN)","5","8","49","9.8","18","0","1","0","0","0","0","3","13.4","4.5","0.1%"
"163","Shi Smith (CAR)","6","11","104","17.3","63","4","0","1","-3","0","0","5","13.1","2.6","0.1%"
"164","Chris Hogan (FA)","4","8","41","10.3","16","0","1","0","0","0","0","5","12.1","2.4","0.0%"
"165","Dede Westbrook (FA)","10","15","68","6.8","17","0","0","0","0","0","0","15","11.8","0.8","0.0%"
"166","Josh Gordon (KC)","5","14","32","6.4","11","0","1","0","0","0","0","9","11.7","1.3","0.3%"
"167","Anthony Miller (PIT)","6","12","25","4.2","10","0","1","0","0","0","0","3","11.5","3.8","0.0%"
"168","Auden Tate (ATL)","3","4","39","13.0","18","0","1","0","0","0","0","4","11.4","2.9","0.1%"
"169","Dax Milne (WAS)","9","14","83","9.2","22","1","0","1","1","0","1","9","10.9","1.2","0.0%"
"170","Preston Williams (MIA)","6","16","71","11.8","34","3","0","1","7","0","0","6","10.8","1.8","0.1%"
"171","Cameron Batson (ATL)","2","5","15","7.5","13","0","1","2","15","0","0","4","10.0","2.5","0.0%"
"172","KJ Hamler (DEN)","5","10","74","14.8","28","2","0","0","0","0","0","3","9.9","3.3","3.4%"
"173","Penny Hart (SEA)","7","12","59","8.4","16","0","0","0","0","0","0","12","9.4","0.8","0.0%"
"174","Dezmon Patmon (IND)","2","4","21","10.5","14","0","1","0","0","0","0","4","9.1","2.3","0.0%"
"175","Ja'Marcus Bradley (CLE)","4","4","64","16.0","37","2","0","0","0","0","0","4","8.4","2.1","0.0%"
"176","Jaelon Darden (TB)","6","12","43","7.2","29","1","0","1","11","0","0","9","8.4","0.9","0.1%"
"177","Andre Roberts (CAR)","1","2","35","35.0","35","2","0","3","19","0","2","16","7.9","0.5","0.0%"
"178","Juwann Winfree (GB)","8","13","58","7.3","12","0","0","0","0","0","1","5","7.8","1.6","0.0%"
"179","C.J. Board (NYG)","4","6","51","12.8","38","2","0","1","6","0","0","6","7.7","1.3","0.0%"
"180","Mike Thomas (CIN)","5","11","52","10.4","19","0","0","0","0","0","0","7","7.7","1.1","0.1%"
"181","Amari Rodgers (GB)","4","8","45","11.3","19","0","0","1","11","0","0","16","7.6","0.5","1.3%"
"182","Jason Moore Jr. (LAC)","3","4","56","18.7","24","1","0","0","0","0","0","1","7.1","7.1","0.0%"
"183","Alex Erickson (WAS)","3","4","55","18.3","25","1","0","0","0","0","0","17","7.0","0.4","0.0%"
"184","Curtis Samuel (WAS)","6","9","27","4.5","10","0","0","4","11","0","0","5","6.8","1.4","5.9%"
"185","William Fuller V (FA)","4","8","26","6.5","10","0","0","0","0","0","0","2","6.6","3.3","1.4%"
"186","Brandon Powell (LAR)","0","0","0","0","0","0","0","0","0","0","0","6","6.0","1.0","0.1%"
"187","Cody White (PIT)","5","6","33","6.6","11","0","0","0","0","0","0","6","5.8","1.0","0.0%"
"188","Willie Snead IV (SF)","4","8","38","9.5","15","0","0","0","0","0","0","7","5.8","0.8","0.0%"
"189","Pharoh Cooper (FA)","4","11","33","8.3","15","0","0","1","3","0","0","8","5.6","0.7","0.0%"
"190","Greg Dortch (ARI)","3","3","15","5.0","10","0","0","1","24","0","0","5","5.4","1.1","0.0%"
