"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"52","James O'Shaughnessy (CHI)","24","34","244","10.2","30","6","0","0","0","0","0","7","38.4","5.5","0.1%"
"53","Maxx Williams (ARI)","16","17","193","12.1","34","4","1","0","0","0","0","5","33.3","6.7","0.1%"
"54","Marcedes Lewis (GB)","23","28","214","9.3","23","3","0","0","0","0","0","13","32.9","2.5","0.1%"
"55","Tyler Kroft (SF)","16","25","173","10.8","26","3","1","0","0","0","0","9","31.3","3.5","0.0%"
"56","Stephen Anderson (ARI)","16","19","165","10.3","34","4","1","0","0","0","0","14","30.5","2.2","0.0%"
"57","Brock Wright (DET)","12","17","117","9.8","36","3","2","0","0","0","0","8","29.7","3.7","0.1%"
"58","Jordan Akins (NYG)","24","33","214","8.9","31","2","0","1","3","0","2","12","29.7","2.5","0.1%"
"59","Ian Thomas (CAR)","18","30","188","10.4","41","5","0","0","0","0","0","14","27.8","2.0","0.1%"
"60","Blake Jarwin (FA)","11","17","96","8.7","20","1","2","0","0","0","0","8","27.1","3.4","2.1%"
"61","Pharaoh Brown (HOU)","23","34","171","7.4","29","2","0","0","0","0","1","13","26.6","2.0","0.1%"
"62","O.J. Howard (BUF)","14","21","135","9.6","21","1","1","0","0","0","0","11","26.5","2.4","1.4%"
"63","Eric Ebron (FA)","12","18","84","7.0","19","0","1","1","1","1","0","8","26.5","3.3","0.0%"
"64","Zach Gentry (PIT)","19","25","167","8.8","25","2","0","0","0","0","0","10","26.2","2.6","0.1%"
"65","Nick Vannett (NO)","9","15","133","14.8","30","3","1","0","0","0","0","7","23.8","3.4","0.0%"
"66","Adam Shaheen (MIA)","12","16","110","9.2","21","1","0","0","0","0","0","9","17.0","1.9","0.0%"
"67","Lee Smith (FA)","9","11","65","7.2","22","1","1","0","0","0","0","10","17.0","1.7","0.0%"
"68","Kylen Granson (IND)","11","15","106","9.6","27","1","0","0","0","0","0","10","16.1","1.6","0.2%"
"69","Chris Manhertz (JAC)","6","9","71","11.8","22","1","1","0","0","0","0","10","16.1","1.6","0.0%"
"70","Jacob Hollister (LV)","9","14","55","6.1","11","0","1","0","0","0","0","7","16.0","2.3","0.0%"
"71","Jesse James (FA)","7","8","62","8.9","19","0","1","0","0","0","0","5","15.7","3.1","0.0%"
"72","Jesper Horsted (LV)","2","3","21","10.5","19","0","2","0","0","0","0","4","15.1","3.8","0.0%"
"73","Tommy Sweeney (BUF)","9","12","44","4.9","13","0","1","0","0","0","0","7","14.9","2.1","0.1%"
"74","Eric Saubert (DEN)","8","12","47","5.9","11","0","1","0","0","0","0","10","14.7","1.5","0.0%"
"75","Blake Bell (KC)","9","13","87","9.7","24","2","0","4","10","0","0","12","14.2","1.2","0.1%"
"76","Drew Sample (CIN)","11","15","81","7.4","19","0","0","0","0","0","0","10","13.6","1.4","0.1%"
"77","Antony Auclair (HOU)","5","5","47","9.4","15","0","1","0","0","0","0","4","13.2","3.3","0.0%"
"78","Noah Gray (KC)","7","10","36","5.1","8","0","1","0","0","0","0","7","13.1","1.9","0.1%"
"79","Ross Dwelley (SF)","4","5","51","12.8","21","1","1","0","0","0","0","4","13.1","3.3","0.0%"
"80","Chris Herndon IV (NO)","4","7","40","10.0","17","0","1","0","0","0","0","6","12.0","2.0","0.0%"
"81","Josh Oliver (BAL)","9","15","66","7.3","19","0","0","0","0","0","0","11","11.1","1.0","0.0%"
"82","Sean McKeon (DAL)","4","6","27","6.8","12","0","1","0","0","0","0","5","10.7","2.1","0.1%"
"83","Tyree Jackson (PHI)","3","7","22","7.3","13","0","1","0","0","0","0","3","9.7","3.2","0.1%"
"84","Chris Myarick (NYG)","3","6","17","5.7","10","0","1","0","0","0","0","5","9.2","1.8","0.0%"
"85","Luke Farrell (JAC)","7","11","56","8.0","21","1","0","0","0","0","0","9","9.1","1.0","0.0%"
"86","Charlie Woerner (SF)","5","6","52","10.4","27","1","0","0","0","0","0","8","7.7","1.0","0.0%"
"87","Tre' McKitty (LAC)","6","8","45","7.5","12","0","0","0","0","0","0","6","7.5","1.3","0.1%"
"88","Parker Hesse (ATL)","5","6","43","8.6","17","0","0","0","0","0","0","4","6.8","1.7","0.0%"
"89","Darren Fells (FA)","4","5","43","10.8","24","1","0","0","0","0","0","3","6.3","2.1","0.0%"
"90","Garrett Griffin (FA)","4","4","39","9.8","14","0","0","0","0","0","0","5","5.9","1.2","0.0%"
"91","Colby Parkinson (SEA)","5","8","33","6.6","12","0","0","0","0","0","0","6","5.8","1.0","0.0%"
"92","Kendall Blanton (WAS)","4","7","37","9.3","23","1","0","0","0","0","0","4","5.7","1.4","0.1%"
"93","Tyler Davis (GB)","4","5","35","8.8","22","1","0","0","0","0","0","8","5.5","0.7","0.0%"
"94","Trevon Wesco (NYJ)","3","5","35","11.7","19","0","0","0","0","0","0","8","5.0","0.6","0.0%"
"95","Shane Zylstra (DET)","3","7","34","11.3","16","0","0","0","0","0","0","3","4.9","1.6","0.0%"
"96","Kaden Smith (FA)","3","3","33","11.0","21","1","0","0","0","0","0","4","4.8","1.2","0.0%"
"97","Jeremy Sprinkle (DAL)","3","3","31","10.3","11","0","0","0","0","0","0","6","4.6","0.8","0.0%"
"98","Kenny Yeboah (NYJ)","2","3","36","18.0","24","1","0","0","0","0","0","3","4.6","1.5","0.0%"
"99","Tommy Hudson (TEN)","3","6","31","10.3","14","0","0","0","0","0","0","4","4.6","1.2","0.0%"
"100","Dominique Dafney (FA)","2","4","34","17.0","26","1","0","0","0","0","0","6","4.4","0.7","0.0%"
"101","Jack Stoll (PHI)","4","5","22","5.5","9","0","0","0","0","0","0","6","4.2","0.7","0.0%"
